numero_dpe,date_etablissement_dpe,methode_application_dpe,etiquette_dpe,type_batiment,periode_construction,zone_climatique,code_insee_ban,typologie_logement,nombre_niveau_immeuble,nombre_niveau_logement,nombre_appartement,type_energie_principale_chauffage,type_energie_principale_ecs,type_ventilation,conso_5_usages_par_m2_ep,emission_ges_5_usages_par_m2,cout_chauffage,cout_ecs,cout_total_5_usages,surface_habitable_logement,surface_habitable_immeuble
2163E1032882R,2021-07-01,dpe appartement individuel,G,appartement,1989-2000,H1c,63113,,,3,,Gaz naturel,Gaz naturel,Ventilation naturelle par conduit,454.1,101.3,2270,148,2523,75.2,
2150E0891749Z,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50365,,1,1,1,Électricité,Non affecté,,110.4,4,448,93,703,65.8,65.8
2150E0745230Q,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50639,,1,1,1,Électricité,Non affecté,,124,4,564,115,781,66.4,66.4
2150E0745078U,2021-07-01,dpe maison individuelle,C,maison,2001-2005,,50393,,1,1,1,Électricité,Non affecté,,134.2,5,722,120,979,79.7,79.7
2147E1049154X,2021-07-01,dpe appartement individuel,C,appartement,avant 1948,H2c,,,,1,,Gaz naturel,Électricité,VMC SF Hygro A après 2012,164.8,19.4,235,287,627,25.1,
2186E0005109V,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H2b,86194,,,3,,Électricité,Non affecté,,167,6,168,372,586,25.4,
2150E0745569R,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50532,,1,1,1,Électricité,Non affecté,,112.7,4,429,106,671,61,61
2163E1028572X,2021-07-01,dpe appartement individuel,C,appartement,1948-1974,H1c,63113,,1,1,1,Gaz naturel,Gaz naturel,VMC SF Auto réglable de 1982 à 2000,143.6,29,573,161,876,60.2,60.2
2192E1037808G,2021-07-01,dpe appartement individuel,D,appartement,1989-2000,H1a,92035,,1,1,1,Électricité,Électricité,VMC SF Auto réglable de 1982 à 2000,253.7,9,209,293,549,20.1,20.1
2150E0892419T,2021-07-01,dpe maison individuelle,C,maison,1983-1988,,50197,,1,1,1,Électricité,Non affecté,,144.9,5,578,108,840,62,62
2164E0024576S,2021-07-01,dpe appartement individuel,C,appartement,2006-2012,H2c,64260,,,1,,Électricité,Non affecté,,157.6,6.1,932,413,1484,79.8,
2167E0003543W,2021-07-01,dpe maison individuelle,D,maison,avant 1948,,67482,,1,1,1,Gaz naturel,Non affecté,,180.7,29.7,711,259,1380,66,66
2126E0000259Z,2021-07-01,dpe maison individuelle,G,maison,1948-1974,H2d,26235,,,1,,Électricité,Non affecté,,651.3,22.2,4830.3,92.6,4957.3,,
2157E0741640V,2021-07-01,dpe issu d'une étude thermique réglementaire RT2012 bâtiment : appartement,F,appartement,1948-1974,,57683,,5,5,50,Gaz naturel,Non affecté,,318.1,70.9,938.3,190.5,1184.3,54,3060
2134E0052118W,2021-07-01,dpe maison individuelle,E,maison,1975-1977,H3,34022,,,1,,Électricité,Électricité,VMC SF Auto réglable avant 1982,117.8,3.7,690,22,901,87.2,
